0.01	0.55	0.84
0.1	0.68	0.54
1	0.77	0.31
10	0.78	0.30
100	0.77	0.31
1000	0.76	0.31
10000	0.76	0.31
100000.00	0.75	0.33
1000000.00	0.75	0.34
